"","x"
"146","The Hating Game       (2021)+75.0+Romance, Comedy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 42m"
"147","Eyes Wide Shut       (1999)+75.0+Drama, Thriller, Mystery+StatusReleasedOriginalLanguageEnglishBudget$65,000,000.00Revenue$162,091,208.00+2h 39m"
"148","Sin Nombre       (2009)+76.0+Drama, Action, Thriller, Crime+OriginalTitleSinnombreStatusReleasedOriginalLanguageSpanish;CastilianBudget-Revenue$5,101,756.00+1h 36m"
"149","The Howling       (1981)+65.0+Horror+StatusReleasedOriginalLanguageEnglishBudget$1,000,000.00Revenue$17,985,893.00+1h 31m"
"150","Black Hawk Down       (2001)+74.0+Action, History, War+StatusReleasedOriginalLanguageEnglishBudget$92,000,000.00Revenue$172,989,651.00+2h 25m"
"151","Dumb and Dumber       (1994)+66.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$16,000,000.00Revenue$247,275,374.00+1h 47m"
"152","Gone in Sixty Seconds       (2000)+64.0+Action, Crime, Thriller+StatusReleasedOriginalLanguageEnglishBudget$90,000,000.00Revenue$237,202,299.00+1h 58m"
"153","Annie       (2014)+62.0+Comedy, Drama, Family+StatusReleasedOriginalLanguageEnglishBudget$65,000,000.00Revenue$133,821,816.00+1h 59m"
"154","Wind River       (2017)+74.0+Crime, Drama, Mystery, Thriller+StatusReleasedOriginalLanguageEnglishBudget$11,000,000.00Revenue$44,998,252.00+1h 47m"
"155","A Dog's Way Home       (2019)+73.0+Drama, Adventure, Family+StatusReleasedOriginalLanguageEnglishBudget$18,000,000.00Revenue$17,643,857.00+1h 36m"
"156","Max Steel       (2016)+56.0+Action, Adventure, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$10,000,000.00Revenue$6,272,403.00+1h 32m"
"157","The Empty Man       (2020)+62.0+Horror, Mystery, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue$4,176,641.00+2h 17m"
"158","Child's Play       (2019)+60.0+Horror+StatusReleasedOriginalLanguageEnglishBudget$10,000,000.00Revenue$44,902,237.00+1h 30m"
"159","Assault on Wall Street       (2013)+59.0+Drama, Thriller, Action+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 39m"
"160","The Prestige       (2006)+82.0+Drama, Mystery, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$109,676,311.00+2h 10m"
"161","Halloween 4: The Return of Michael Myers       (1988)+61.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$5,000,000.00Revenue$17,800,000.00+1h 28m"
"162","The League of Extraordinary Gentlemen       (2003)+59.0+Fantasy, Action, Thriller, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$78,000,000.00Revenue$179,265,204.00+1h 50m"
"163","Yes Day       (2021)+69.0+Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 26m"
"164","Spartacus       (1960)+75.0+History, War, Drama, Adventure+StatusReleasedOriginalLanguageEnglishBudget$12,000,000.00Revenue$60,000,000.00+3h 17m"
"165","Paddington       (2014)+71.0+Comedy, Adventure, Family+StatusReleasedOriginalLanguageEnglishBudget$55,000,000.00Revenue$259,207,227.00+1h 36m"
"166","8 Mile       (2002)+71.0+Music, Drama+StatusReleasedOriginalLanguageEnglishBudget$41,000,000.00Revenue$242,875,078.00+1h 51m"
"167","A Thousand Words       (2012)+61.0+Drama, Comedy+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$22,044,277.00+1h 31m"
"168","Ghost Ship       (2002)+59.0+Horror, Mystery, Thriller+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$68,349,884.00+1h 31m"
"169","Big Fish & Begonia       (2016)+74.0+Animation, Adventure, Fantasy+OriginalTitle大鱼海棠StatusReleasedOriginalLanguageChineseBudget$4,531,653.00Revenue$84,552,250.00+1h 41m"
